Date,AAPL
2020-01-01,74.60857391357422
2020-02-01,65.89447021484375
2020-03-01,61.443050384521484
2020-04-01,70.98968505859375
2020-05-01,76.82255554199219
2020-06-01,88.38375091552734
2020-07-01,102.97869110107422
2020-08-01,125.05526733398438
2020-09-01,112.43614196777344
2020-10-01,105.6885986328125
2020-11-01,115.5817642211914
2020-12-01,129.046630859375
2021-01-01,128.33665466308594
2021-02-01,117.93048858642578
2021-03-01,118.97354125976562
2021-04-01,128.04150390625
2021-05-01,121.36958312988281
2021-06-01,133.6250457763672
2021-07-01,142.30828857421875
2021-08-01,148.13294982910156
2021-09-01,138.26132202148438
2021-10-01,146.37132263183594
2021-11-01,161.51657104492188
2021-12-01,173.7589874267578
2022-01-01,171.02883911132812
2022-02-01,161.5761260986328
2022-03-01,171.08018493652344
2022-04-01,154.46299743652344
2022-05-01,145.8311309814453
2022-06-01,134.15298461914062
2022-07-01,159.458740234375
2022-08-01,154.26805114746094
2022-09-01,135.7935333251953
2022-10-01,150.66990661621094
2022-11-01,145.4523468017578
2022-12-01,127.87933349609375
2023-01-01,142.01266479492188
2023-02-01,145.0834197998047
2023-03-01,162.54518127441406
2023-04-01,167.2568817138672
2023-05-01,174.71884155273438
2023-06-01,191.46453857421875
2023-07-01,193.9124755859375
2023-08-01,185.4433135986328
2023-09-01,169.2267303466797
2023-10-01,168.79183959960938
2023-11-01,187.74964904785156
2023-12-01,190.5504608154297
2024-01-01,182.50405883789062
2024-02-01,178.89158630371094
2024-03-01,169.93345642089844
2024-04-01,168.79383850097656
2024-05-01,190.51614379882812
2024-06-01,209.00355529785156
2024-07-01,220.37559509277344
2024-08-01,227.24249267578125
2024-09-01,231.47943115234375
2024-10-01,224.4357147216797
2024-11-01,235.78118896484375
2024-12-01,249.05946350097656
2025-01-01,234.71778869628906
2025-02-01,240.5260772705078
2025-03-01,221.1660614013672
2025-04-01,211.57785034179688
2025-05-01,199.97842407226562
2025-06-01,204.54754638671875
2025-07-01,206.9402618408203
2025-08-01,231.43572998046875
2025-09-01,254.14559936523438
2025-10-01,269.85565185546875
2025-11-01,278.31951904296875
2025-12-01,271.6058349609375
