t,Price
0,10.0
1,6.366285034069601
2,4.532480759970744
3,2.6610262834811795
4,1.1226918413084421
5,1.504416872951312
6,0.9210525234279691
7,0.6667759248526337
8,-0.2541189636109788
9,-0.44683971748419304
10,-0.3803670199293572
11,-0.9464904824425028
12,-0.7353172533178709
13,-1.01751628785801
14,-1.1382886647615036
15,-1.4110912977019516
16,-0.45017889878439676
17,-0.44583382152025913
18,-0.9637026714384376
19,-0.5286818380986131
20,-1.0682586953517692
21,-0.820676996815932
22,-1.6905388552744736
23,-2.128094552315303
24,-1.7444928181714179
25,-1.1414922063054953
26,-0.9028446523780409
27,-0.8396848753519156
28,-0.8777164063647357
29,-1.4993607444098136
30,-1.5584049916587208
31,-1.4759980663450067
32,-0.6512473026009749
33,-0.3487518680225109
34,-1.160287644028243
35,-0.7654098584199734
36,-0.8043556222337298
37,-0.9814059700507487
38,-0.4786283458111921
39,0.13291812834384775
40,0.5424679765672034
41,-0.10605721523393036
42,-0.2159082468075268
43,0.040834736734408406
44,0.5113754219824475
45,0.055992641115268055
46,-0.06046521990348184
47,-0.5881169476564521
48,-0.938040389165819
49,-0.13593317648468306
50,0.5995510107113177
51,0.3105337807319907
52,0.6812541233987447
53,0.5745810293265132
54,0.009546383392730007
55,0.18621558619971917
56,0.8766503818570192
57,0.4887884992837011
58,1.0648402412946603
59,-0.6943978100598186
60,0.04358578061272178
61,0.06658223421402527
62,-0.11427888979123123
63,-0.01457792198468761
64,-1.0014967874761787
65,-0.6396696131525773
66,-0.1598556816834837
67,0.6543766838201228
68,0.08705751353069802
69,-0.3581897372551224
70,-0.5851010934557188
71,-0.08824979288590962
72,0.08203072565321068
73,-0.1883382101662045
74,0.08089757898161945
75,4.124023340747241
76,4.409020648338678
77,4.161344122401689
78,3.701756392990418
79,4.021633785344542
80,3.407187878230859
81,3.2296423712379454
82,2.9817221013197126
83,4.425957777308535
84,4.914665714607987
85,4.170280824382809
86,4.407403637837101
87,5.765107162614146
88,5.871025888998208
89,5.850211117853938
90,6.813450358076286
91,7.226691191592654
92,7.102290021095405
93,8.111587822642289
94,8.106020623770158
95,7.3732555802026
96,7.19256282579703
97,7.269120368091272
98,7.909243038460997
99,8.298202374032657
100,7.792538112649449
101,0.5046408213275992
102,-0.5462273185627906
103,-0.18641863657682683
104,0.03481341215517486
105,0.4086764502082054
106,-0.40993093130586844
107,-0.8694128826536417
108,-0.18268387078021253
109,0.05527017367848157
110,0.17968505500291096
111,0.3502057848167399
112,0.004924552108064251
113,0.12097731043808221
114,0.2656934345093597
115,-0.09547965186581125
116,0.8388441021266488
117,1.0631400910595277
118,0.4514933212019573
119,0.7729773751274526
120,0.22087751616510304
121,0.5959149913787356
122,1.1252878097510073
123,0.620671523704474
124,1.050360547605485
125,1.1687531912916351
126,1.4818666721444271
127,2.3061143303362073
128,1.9902170587330525
129,1.4466112192566767
130,0.4321344647126665
131,-0.14595838616112566
132,-0.12702638474435984
133,0.09357646025149506
134,0.1950686009658688
135,0.5318362716261203
136,0.32888390222378394
137,0.9261264473478501
138,0.42906124015768393
139,1.6201684444544517
140,1.270211433251184
141,0.3220050145159411
142,-0.3451694661701441
143,0.03727126110288115
144,-0.08970733919758556
145,0.30399106044333457
146,0.41625092480662024
147,0.20955341145131823
148,-0.29956913222590736
149,-0.9344427522775036
150,-0.776169359656037
151,-0.03106176315176684
152,0.08866755676620194
153,-0.5704045960785896
154,-0.2509192227946736
155,0.044189219932350754
156,-0.4157818570231419
157,-0.16915650938544693
158,-0.07098592881590135
159,-0.6134876830637478
160,-0.22117459571941456
161,0.13615963778073809
162,0.6303181972774925
163,0.9379448357151561
164,-0.07718104582582042
165,-0.5192439101184768
166,-0.08109228738367152
167,0.2040109820641048
168,0.390563713570857
169,2.181060592230491
170,1.948238338238113
171,2.0530772883808326
172,2.0422222817949756
173,1.8826414051476759
174,1.2776501731578636
175,1.3535372696958812
176,0.645494721442581
177,0.3737018106821132
178,0.042220345760530825
179,0.0731249415652144
180,1.2096847312431567
181,-0.06753158378034174
182,0.2947793376896202
183,-0.5953040334931889
184,-0.6621872555637822
185,0.07036742747725727
186,0.08252115317309083
187,-0.4797895118552478
188,-0.7011679553789113
189,-0.16221810600081676
190,-0.4699136886265631
191,-0.19515382927529634
192,-0.10320823563884131
193,-0.3924329144855575
194,0.8186116372843637
195,0.8454671114424057
196,-0.4667254076420537
197,-0.20809756602440105
198,-0.4652440530116903
199,0.12584832812184338
