Date,AAPL
2020-01-01,74.60856628417969
2020-02-01,65.89447784423828
2020-03-01,61.443050384521484
2020-04-01,70.98969268798828
2020-05-01,76.82256317138672
2020-06-01,88.38374328613281
2020-07-01,102.97871398925781
2020-08-01,125.05524444580078
2020-09-01,112.43614196777344
2020-10-01,105.68859100341797
2020-11-01,115.58175659179688
2020-12-01,129.046630859375
2021-01-01,128.3367156982422
2021-02-01,117.93048095703125
2021-03-01,118.97355651855469
2021-04-01,128.04148864746094
2021-05-01,121.36959075927734
2021-06-01,133.62501525878906
2021-07-01,142.3083038330078
2021-08-01,148.13296508789062
2021-09-01,138.26132202148438
2021-10-01,146.37135314941406
2021-11-01,161.51658630371094
2021-12-01,173.7589874267578
2022-01-01,171.02883911132812
2022-02-01,161.57615661621094
2022-03-01,171.0802001953125
2022-04-01,154.4630126953125
2022-05-01,145.83111572265625
2022-06-01,134.15293884277344
2022-07-01,159.45875549316406
2022-08-01,154.26805114746094
2022-09-01,135.79348754882812
2022-10-01,150.66989135742188
2022-11-01,145.45237731933594
2022-12-01,127.87930297851562
2023-01-01,142.0126953125
2023-02-01,145.08346557617188
2023-03-01,162.545166015625
2023-04-01,167.25692749023438
2023-05-01,174.71881103515625
2023-06-01,191.46453857421875
2023-07-01,193.9124755859375
2023-08-01,185.44329833984375
2023-09-01,169.22671508789062
2023-10-01,168.7918243408203
2023-11-01,187.74964904785156
2023-12-01,190.5504608154297
2024-01-01,182.50404357910156
2024-02-01,178.8915557861328
2024-03-01,169.93345642089844
2024-04-01,168.7938232421875
2024-05-01,190.5161590576172
2024-06-01,209.00355529785156
2024-07-01,220.3756103515625
2024-08-01,227.2425079345703
2024-09-01,231.47943115234375
2024-10-01,224.43569946289062
2024-11-01,235.7811737060547
2024-12-01,249.05947875976562
2025-01-01,234.71780395507812
2025-02-01,240.5260772705078
2025-03-01,221.1660614013672
2025-04-01,211.57785034179688
2025-05-01,199.97842407226562
2025-06-01,204.5475311279297
2025-07-01,206.9402618408203
2025-08-01,231.4357147216797
2025-09-01,254.14559936523438
2025-10-01,269.85565185546875
2025-11-01,278.31951904296875
2025-12-01,271.6058349609375
